global_idx,file,row,col,lat,lon,err
4938506,Baku_Sentinel_TimeSeries-0000000000-0000002048.tif,575,727,40.448532129578105,49.949204405954575,0.0038592247
3278150,Baku_Sentinel_TimeSeries-0000000000-0000000000.tif,1600,1350,40.35645481295586,49.821194477967545,0.0038592028
5857518,Baku_Sentinel_TimeSeries-0000000000-0000002048.tif,1286,416,40.384661912877206,49.921266800618454,0.003859197
958039,Baku_Sentinel_TimeSeries-0000000000-0000000000.tif,467,1623,40.4582339346466,49.845718485224005,0.0038591444
6010107,Baku_Sentinel_TimeSeries-0000000000-0000002048.tif,1404,431,40.3740617925246,49.92261427354464,0.003859042
1186944,Baku_Sentinel_TimeSeries-0000000000-0000000000.tif,579,1152,40.44817280346446,49.80340783534198,0.0038588976
2994834,Baku_Sentinel_TimeSeries-0000000000-0000000000.tif,1462,658,40.3688515638767,49.75903106030648,0.0038588499
1668795,Baku_Sentinel_TimeSeries-0000000000-0000000000.tif,814,1723,40.42706239428765,49.8547016380652,0.003858808
5522733,Baku_Sentinel_TimeSeries-0000000000-0000002048.tif,1027,518,40.4079282787359,49.93042961651648,0.003858777
1694616,Baku_Sentinel_TimeSeries-0000000000-0000000000.tif,827,920,40.425894584418295,49.782566920750405,0.0038587674
6010525,Baku_Sentinel_TimeSeries-0000000000-0000002048.tif,1404,849,40.3740617925246,49.960163852420834,0.0038587528
3187959,Baku_Sentinel_TimeSeries-0000000000-0000000000.tif,1556,1271,40.360407400205986,49.814097787223,0.003858573
1269273,Baku_Sentinel_TimeSeries-0000000000-0000000000.tif,619,1561,40.44457954232798,49.84014893046247,0.0038585227
7263016,Baku_Sentinel_TimeSeries-0000002048-0000002048.tif,38,826,40.31279669014765,49.95809772726736,0.0038584995
2690505,Baku_Sentinel_TimeSeries-0000000000-0000000000.tif,1313,1481,40.382236461610084,49.83296240818951,0.003858498
2694675,Baku_Sentinel_TimeSeries-0000000000-0000000000.tif,1315,1555,40.382056798553265,49.839609941292,0.0038584333
4015611,Baku_Sentinel_TimeSeries-0000000000-0000000000.tif,1960,1531,40.324115462727555,49.83745398461011,0.003858322
1081930,Baku_Sentinel_TimeSeries-0000000000-0000000000.tif,528,586,40.45275421141347,49.752563190260815,0.0038582939
4431090,Baku_Sentinel_TimeSeries-0000000000-0000002048.tif,183,167,40.48374608871559,49.898898750043884,0.0038582764
4384360,Baku_Sentinel_TimeSeries-0000000000-0000002048.tif,146,1278,40.48706985526684,49.99870157810956,0.0038582012
7215033,Baku_Sentinel_TimeSeries-0000002048-0000002048.tif,1,684,40.31612045669889,49.94534165023286,0.0038581036
3264366,Baku_Sentinel_TimeSeries-0000000000-0000000000.tif,1593,1902,40.35708363365474,49.870781481650944,0.0038580878
1518778,Baku_Sentinel_TimeSeries-0000000000-0000000000.tif,741,1210,40.43362009586173,49.80861806398987,0.0038580652
4472910,Baku_Sentinel_TimeSeries-0000000000-0000002048.tif,215,611,40.48087147980641,49.93878394865879,0.003858051
1549275,Baku_Sentinel_TimeSeries-0000000000-0000000000.tif,756,987,40.43227262293554,49.78858563315401,0.0038580452
4843665,Baku_Sentinel_TimeSeries-0000000000-0000002048.tif,502,275,40.45508983115218,49.90860055511237,0.0038579975
4016416,Baku_Sentinel_TimeSeries-0000000000-0000000000.tif,1961,288,40.32402563119914,49.72579339479405,0.0038579875
3858903,Baku_Sentinel_TimeSeries-0000000000-0000000000.tif,1884,471,40.33094265888686,49.742232564493435,0.0038579472
5374852,Baku_Sentinel_TimeSeries-0000000000-0000002048.tif,913,39,40.41816907297487,49.88740031440715,0.0038579372
1080942,Baku_Sentinel_TimeSeries-0000000000-0000000000.tif,527,1646,40.452844042941884,49.84778461037748,0.003857928
1528034,Baku_Sentinel_TimeSeries-0000000000-0000000000.tif,746,226,40.43317093821966,49.72022384003251,0.003857903
